Product_Title,Product_Price,Product_MRP,Discount_%,Date_Collected
Apple iPhone 13 Pro Max (256GB) - Gold,"1,28,900.00","1,39,900.00",8%,2022-08-17
Apple iPhone 13 Pro Max (256GB) - Gold,"1,28,900.00","1,39,900.00",8%,2022-08-17
Apple iPhone 13 Pro Max (256GB) - Gold,"1,28,900.00","1,39,900.00",8%,2022-08-17
Apple iPhone 13 Pro Max (256GB) - Gold,"1,28,900.00","1,39,900.00",8%,2022-08-17
